Id,Street Address,Allowed To Collect,Checkbox,Country/Region,Createdate,First Name,Temporary ID,Industry,Lastmodifieddate,Last Name,Phone Number,Email,Training Create Date,Email Validation,Original Email,City,Extension
89900742223,"Boadicea   Lane, 1368",Yes,Yes,Ireland,2025-01-08,Carrie,89900742223,Animal feeds,2025-01-08,Rees,(+353) 4527 8522,carrie_rees1243518944@tonsy.org,2021-03-26,Valid,,Dublin,ext 25
89923835996,"Norfolk  Rue, 5174",Yes,Yes,England,2025-01-08,Esmeralda,89923835996,Fruit ; vegetables,2025-01-08,York,(+44) 8664 4548,esmeralda_york235096819@ubusive.com,2021-10-27,Valid,,Oxford,ext 85
89926039813,"Walnut Route, 8868",Yes,Yes,Ireland,2025-01-08,Javier,89926039813,Animal feeds,2025-01-08,Ogilvy,(+353) 3305 6478,javier_ogilvy1286833203@sveldo.biz,2021-05-10,Valid,,Limerick,ext 2
89931282301,"Thomas More   Walk, 6363",Yes,Yes,Ireland,2025-01-08,Payton,89931282301,Meat,2025-01-08,Becker,(+353) 8220 7318,payton_becker94954582@acrit.org,2021-07-31,Valid,,Cork,ext 19
89923178834,"Baylis  Avenue, 5446",Yes,Yes,England,2025-01-08,Aeris,89923178834,Poultry ; fish,2025-01-08,Clarke,(+44) 2062 2357,aeris_clarke836034276@qater.org,2021-02-07,Valid,,Winchester,ext 60
89924115461,"Tisbury  Alley, 4295",Yes,Yes,England,2025-01-08,Mona,89924115461,Fruit ; vegetables,2025-01-08,Bishop,(+44) 7563 4086,mona_bishop142932851@tonsy.org,2021-11-27,Valid,,Oxford,ext 18
89925842192,"Ben   Walk, 1866",Yes,Yes,Ireland,2025-01-08,Lexi,89925842192,Dairy products,2025-01-08,Dunbar,(+353) 2226 8672,lexi_dunbar722128966@sveldo.biz,2021-11-12,Valid,,Limerick,ext 70
89929063080,"Lincoln Hill, 4716",Yes,Yes,England,2025-01-08,Kassandra,89929063080,Fruit ; vegetables,2025-01-08,Powell,(+44) 1204 6270,kassandra_powell155033352@gembat.biz,2021-09-12,Valid,,Winchester,ext 6
89931250206,"Bocking   Street, 7862",Yes,Yes,England,2025-01-08,Denis,89931250206,Bakery products,2025-01-08,Chester,(+44) 4052 7533,denis_chester991222788@yahoo.com,2021-07-10,Valid,,Plymouth,ext 34
89900742224,"Amwell    Boulevard, 2333",Yes,Yes,England,2025-01-08,Maria,89900742224,Dairy products,2025-01-08,Gilmore,(+44) 6066 3340,maria_gilmore436638082@bretoux.com,2021-03-24,Valid,,Milton Keynes,ext 82
89924010144,"Camdale  Tunnel, 5862",Yes,Yes,England,2025-01-08,Brad,89924010144,Fruit ; vegetables,2025-01-08,Wills,(+44) 6720 0385,brad_wills1857591225@liret.org,2021-07-01,Valid,,London,ext 57
